timestamp,event_type,details,window_title,application,bbox_x,bbox_x,bbox_width,bbox_height
2025-08-22T14:30:49.534000+00:00,FormAction,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.method=post,,tab-581319201,,,,
2025-08-22T14:30:50.972000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry,xbot-test.exlservice.com/Reconciliation/OrderEntry,tab-581319201,,,,
2025-08-22T14:30:53.192000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry,CRM - Order Entry,tab-581319201,,,,
2025-08-22T14:30:59.972000+00:00,Navigation,tabId=581319201 | url=https://www.bing.com/search?q=chatgpt&cvid=5f63ae5b95d84e8e9ea5a9aa9e2253d9&gs_lcrp=EgRlZGdlKgkIABBFGDsY-QcyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQRRg8MgYICBBFGDzSAQc3OTlqMGo0qAIHsAIB&FORM=ANAB01&PC=WSEDSE,bing.com/search?q=chatgpt&cvid=5f63ae5b95d84e8e9ea5a9aa9e2253d9&gs_lcrp=EgRlZGdlKgkIABBFGDsY-QcyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQRRg8MgYICBBFGDzSAQc3OTlqMGo0qAIHsAIB&FORM=ANAB01&PC=WSEDSE,tab-581319201,,,,
2025-08-22T14:31:00.470000+00:00,Navigation,tabId=581319201 | url=https://www.bing.com/search?q=chatgpt&cvid=5f63ae5b95d84e8e9ea5a9aa9e2253d9&gs_lcrp=EgRlZGdlKgkIABBFGDsY-QcyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQRRg8MgYICBBFGDzSAQc3OTlqMGo0qAIHsAIB&FORM=ANAB01&PC=WSEDSE,chatgpt - Search,tab-581319201,,,,
2025-08-22T14:31:01.972000+00:00,Focus,tabId=581319201 | url=https://www.bing.com/search?q=chatgpt&cvid=5f63ae5b95d84e8e9ea5a9aa9e2253d9&gs_lcrp=EgRlZGdlKgkIABBFGDsY-QcyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQRRg8MgYICBBFGDzSAQc3OTlqMGo0qAIHsAIB&FORM=ANAB01&PC=WSEDSE | data.type=text | data.tag=input | data.id=uaseabox | data.name=query | data.placeholder=A,,tab-581319201,,,,
2025-08-22T14:31:02.363000+00:00,Navigation,tabId=581319214,,tab-581319214,,,,
2025-08-22T14:31:02.700000+00:00,Navigation,tabId=581319214 | url=https://www.bing.com/search?q=chatgpt&cvid=5f63ae5b95d84e8e9ea5a9aa9e2253d9&gs_lcrp=EgRlZGdlKgkIABBFGDsY-QcyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQRRg8MgYICBBFGDzSAQc3OTlqMGo0qAIHsAIB&FORM=ANAB01&PC=WSEDSE,bing.com/ck/a?!&&p=65ce7d90b22547e307160a91c17dbb36a135c41d2c9274aa46bf199211cb9ee4JmltdHM9MTc1NTgyMDgwMA&ptn=3&ver=2&hsh=4&fclid=0f3faec1-c9d3-6ed0-05a2-a037c8d56f9a&psq=chatgpt&u=a1aHR0cHM6Ly9jaGF0Z3B0LmNvbS8&ntb=1,tab-581319214,,,,
2025-08-22T14:31:03.507000+00:00,Navigation,tabId=581319214 | url=https://chatgpt.com/,chatgpt.com,tab-581319214,,,,
2025-08-22T14:31:05.660000+00:00,Navigation,tabId=581319214 | url=https://chatgpt.com/,ChatGPT,tab-581319214,,,,
